cfstrsvs;Coprocessadores
ldrtvc;Acesso à memória
addscc;ULA
stmeq;Acesso à memória múltiplo
cfstr64ne;Coprocessadores
smcvs;Modo supervisor
andvs;ULA
ldrpl;Acesso à memória
andhi;ULA
orrsmi;ULA
adcscc;ULA
strbge;Acesso à memória
ldmdble;Acesso à memória múltiplo
mrrcle;Coprocessadores
ldfnes;Acesso a memória com PF
rscne;ULA
vstreq.16;Operações com vetores
bllt;Desvios
andspl;ULA
mrc2;Coprocessadores
strbgt;Acesso à memória
sfmpl;Coprocessadores
ldccc;Coprocessadores
ldrtne;Acesso à memória
stfmis;Acesso a memória com PF
ldrblt;Acesso à memória
stcls;Coprocessadores
strbpl;Acesso à memória
ldfles;Acesso a memória com PF
ldfcss;Acesso a memória com PF
stmdacc;Acesso à memória múltiplo
stcvs;Coprocessadores
cfstr32vs;Coprocessadores
strbteq;Acesso à memória
addsmi;ULA
cfstrscs;Coprocessadores
lfmeq;Acesso a memória com PF
smladxvs;Coprocessadores
stclvs;Coprocessadores
ldclhi;Coprocessadores
andsge;ULA
cdplt;Coprocessadores
andseq;ULA
orrseq;ULA
stc2;Coprocessadores
subsvc;ULA
dvfcsez;ULA com PF
mcrreq;Coprocessadores
stmdbvc;Acesso à memória múltiplo
andsvc;ULA
cmpcs;ULA
strtcc;Acesso à memória
smlsdxeq;Coprocessadores
sfmcs;Coprocessadores
ldmdbls;Acesso à memória múltiplo
stmdblt;Acesso à memória múltiplo
lsleq;Acesso a memória com PF
smladlt;Coprocessadores
andscs;ULA
ldfpls;Acesso a memória com PF
strhls;Acesso à memória
ldmdage;Acesso à memória múltiplo
eorsge;ULA
biclt;ULA
andsgt;ULA
cdp2;Coprocessadores
movtcc;ULA
andslt;ULA
teqeq;ULA
mrrccs;Coprocessadores
movwvc;ULA
adfccs;ULA com PF
rsbsne;ULA
eorsgt;ULA
movgt;ULA
ldrbvc;Acesso à memória
stcleq;Coprocessadores
sfmvs;Coprocessadores
addsvc;ULA
cdpcc;Coprocessadores
addsge;ULA
stmdami;Acesso à memória múltiplo
adcpl;ULA
subcc;ULA
ldmda;Acesso à memória múltiplo
strhcs;Acesso à memória
svcle;Modo supervisor
strtge;Acesso à memória
lsl;Acesso a memória com PF
ble;Desvios
cfldrsmi;Coprocessadores
mcrls;Coprocessadores
vmulcs.f64;Operações com vetores
stmibeq;Acesso à memória múltiplo
cfmul32cs;Coprocessadores
orrhi;ULA
ldrsbeq;Acesso à memória
stmdbeq;Acesso à memória múltiplo
ldrhne;Acesso à memória
ldrsheq;Acesso à memória
svccc;Modo supervisor
bl;Desvios
